district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Biesdorf,"Gerstenweg 0, Biesdorf, Berlin","Gerstenweg, Berlin",HousingAnywhere B.V.,3200,220,3,0,0,0,0,0,,0,0
Rummelsburg,"Maximilianstraße 0, Rummelsburg, Berlin","Maximilianstraße, Berlin",HousingAnywhere B.V.,1750,56,1,0,0,0,0,0,,0,0
Neukölln,"Weisestraße 0, Neukölln (Ortsteil), Berlin","Weisestraße, Berlin",HousingAnywhere B.V.,1800,55,2,0,0,0,0,0,,0,0
Kreuzberg,"Grimmstraße 0, Kreuzberg, Berlin","Grimmstraße, Berlin",HousingAnywhere B.V.,2400,95,2,0,0,0,0,0,,0,0
Friedrichshain,"Frankfurter Tor 0, Friedrichshain, Berlin","Frankfurter Tor, Berlin",HousingAnywhere B.V.,1830,48,1,0,0,0,0,0,,0,0
Charlottenburg,"Helmholtzstraße 0, Charlottenburg, Berlin","Helmholtzstraße, Berlin",HousingAnywhere B.V.,1850,51,2,0,0,0,0,0,,0,0
Friedrichshain,"Boxhagener Straße 0, Friedrichshain, Berlin","Boxhagener Straße, Berlin",HousingAnywhere B.V.,1730,41,1,0,0,0,0,0,,0,0
Friedrichshain,"Boxhagener Straße 0, Friedrichshain, Berlin","Boxhagener Straße, Berlin",HousingAnywhere B.V.,1730,41,1,0,0,0,0,0,,0,0
Wilhelmsruh,"Schillerstraße 0, Wilhelmsruh, Berlin","Schillerstraße, Berlin",HousingAnywhere B.V.,1550,36,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Sonnenburger Straße 0, Prenzlauer Berg, Berlin","Sonnenburger Straße, Berlin",HousingAnywhere B.V.,1900,55,1,0,0,0,0,0,,0,0
Gesundbrunnen,"Pankstraße 0, Gesundbrunnen, Berlin","Pankstraße, Berlin",HousingAnywhere B.V.,1100,42,1,0,0,0,0,0,,0,0
Steglitz,"Altmarkstraße 0, Steglitz, Berlin","Altmarkstraße, Berlin",HousingAnywhere B.V.,1195,32,1,0,0,0,0,0,,0,0
Wilmersdorf,"Würzburger Straße 0, Wilmersdorf, Berlin","Würzburger Straße, Berlin",HousingAnywhere B.V.,1295,32,1,0,0,0,0,0,,0,0
Kreuzberg,"Stresemannstraße 0, Kreuzberg, Berlin","Stresemannstraße, Berlin",HousingAnywhere B.V.,2950,150,2,0,0,0,0,0,,0,0
Friedrichshain,"Gärtnerstraße 0, Friedrichshain, Berlin","Gärtnerstraße, Berlin",HousingAnywhere B.V.,1550,43,1,0,0,0,0,0,,0,0
Friedrichshain,"Bänschstraße 0, Friedrichshain, Berlin","Bänschstraße, Berlin",HousingAnywhere B.V.,1500,25,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Winsstraße 0, Prenzlauer Berg, Berlin","Winsstraße, Berlin",HousingAnywhere B.V.,3500,75,2,0,0,0,0,0,,0,0
Kreuzberg,"Mariannenplatz 0, Kreuzberg, Berlin","Mariannenplatz, Berlin",HousingAnywhere B.V.,1200,25,1,0,0,0,0,0,,0,0
Friedrichshain,"Frankfurter Tor 0, Friedrichshain, Berlin","Frankfurter Tor, Berlin",HousingAnywhere B.V.,2290,80,1,0,0,0,0,0,,0,1
Charlottenburg,"Damaschkestraße 0, Charlottenburg, Berlin","Damaschkestraße, Berlin",HousingAnywhere B.V.,2190,28,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Eugen-Schönhaar-Straße 0, Prenzlauer Berg, Berlin","Eugen-Schönhaar-Straße, Berlin",HousingAnywhere B.V.,1400,40,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Cotheniusstraße 0, Prenzlauer Berg, Berlin","Cotheniusstraße, Berlin",HousingAnywhere B.V.,1200,40,1,0,0,0,0,0,,0,0
Gesundbrunnen,"Ravenéstraße 0, Gesundbrunnen, Berlin","Ravenéstraße, Berlin",HousingAnywhere B.V.,2000,75,2,0,0,0,0,0,,0,0
Moabit,"Beusselstraße 0, Moabit, Berlin","Beusselstraße, Berlin",HousingAnywhere B.V.,1650,45,1,0,0,0,0,0,,0,0
Steglitz,"Liliencronstraße 0, Steglitz, Berlin","Liliencronstraße, Berlin",HousingAnywhere B.V.,2190,50,1,0,0,0,0,0,,0,0
Kreuzberg,"Yorckstraße 0, Kreuzberg, Berlin","Yorckstraße, Berlin",HousingAnywhere B.V.,1790,50,1,0,0,0,0,0,,0,0
Halensee,"Johann-Georg-Straße 0, Halensee, Berlin","Johann-Georg-Straße, Berlin",HousingAnywhere B.V.,2500,80,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Paul-Heyse-Straße 0, Prenzlauer Berg, Berlin","Paul-Heyse-Straße, Berlin",HousingAnywhere B.V.,1290,42,1,0,0,0,0,0,,0,0
Friedrichshain,"Schreinerstraße 0, Friedrichshain, Berlin","Schreinerstraße, Berlin",HousingAnywhere B.V.,1390,60,1,0,0,0,0,0,,0,1
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3470,71,1,0,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3250,67,2,0,0,0,0,0,,0,0
Westend,"Brixplatz 11, Westend, Berlin","Top-Lage Neu-Westend/Brixplatz -Großzügige Hochparterre-Wohnung/Ruhig, vollständig saniert/Parkblick",Estate agent,2819.8,191.2,5,0,1,0,0,0,,0,0
Friedrichshagen,"Fürstenwalder Damm 294, Friedrichshagen, Berlin",Top moderne 2-Zimmer-Wohnung!,Estate agent,1709,66.22,2,1,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3400,53,1,0,0,0,0,0,,0,0
Neukölln,"Hermannstraße 0, Neukölln (Ortsteil), Berlin","Hermannstraße, Berlin",HousingAnywhere B.V.,5249,51,1,0,0,0,0,0,,0,1
Neukölln,"Hermannstraße 0, Neukölln (Ortsteil), Berlin","Hermannstraße, Berlin",HousingAnywhere B.V.,3439,32,1,0,0,0,0,0,,0,1
Westend,"Nürnberger Straße 0, Westend, Berlin","Nürnberger Straße, Berlin",HousingAnywhere B.V.,1700,53,1,0,0,0,0,0,,0,0
Halensee,"Brandenburgische Straße 0, Halensee, Berlin","Brandenburgische Straße, Berlin",HousingAnywhere B.V.,1800,46,1,0,0,0,0,0,,0,1
Steglitz,"Steglitz, Berlin",Luxus Maisonette-Dachgeschosswohnung direkt am Breitenbachplatz,Estate agent,2200,80,4,1,0,0,0,1,,0,0
Schöneberg,"Nollendorfplatz 0, Schöneberg, Berlin","Nollendorfplatz, Berlin",HousingAnywhere B.V.,2200,30,1,0,0,0,0,0,,0,0
Schöneberg,"Nollendorfplatz 0, Schöneberg, Berlin","Nollendorfplatz, Berlin",HousingAnywhere B.V.,2500,60,1,0,0,0,0,0,,0,0
Schöneberg,"Nollendorfplatz 0, Schöneberg, Berlin","Nollendorfplatz, Berlin",HousingAnywhere B.V.,2100,35,1,0,0,0,0,0,,0,0
Schöneberg,"Nollendorfplatz 0, Schöneberg, Berlin","Nollendorfplatz, Berlin",HousingAnywhere B.V.,1699,25,1,0,0,0,0,0,,0,0
Kreuzberg,"Mariannenplatz 0, Kreuzberg, Berlin","Mariannenplatz, Berlin",HousingAnywhere B.V.,1040,30,1,0,0,0,0,0,,0,1
Prenzlauer Berg,"Pappelallee 0, Prenzlauer Berg, Berlin","Pappelallee, Berlin",HousingAnywhere B.V.,1700,28,1,0,0,0,0,0,,0,0
Tegel,"Berliner Straße 0, Tegel, Berlin","Berliner Straße, Berlin",HousingAnywhere B.V.,2290,67,1,0,0,0,0,0,,0,1
Wilmersdorf,"Pommersche Straße 0, Wilmersdorf, Berlin","Pommersche Straße, Berlin",HousingAnywhere B.V.,1800,62,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1341,31,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1347,31,1,0,0,0,0,0,,0,0
Schöneberg,"Feurigstraße 0, Schöneberg, Berlin","Feurigstraße, Berlin",HousingAnywhere B.V.,1900,60,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1306,31,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1144,31,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1308,31,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1309,31,1,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1411,32,1,0,0,0,0,0,,0,0
Niederschönhausen,"Buchholzer Straße 0, Niederschönhausen, Berlin","Buchholzer Straße, Berlin",HousingAnywhere B.V.,2835,80,2,0,0,0,0,0,,0,0
Kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",HousingAnywhere B.V.,1345,35,1,0,0,0,0,0,,0,0
Gesundbrunnen,"Bastianstraße 0, Gesundbrunnen, Berlin","Bastianstraße, Berlin",HousingAnywhere B.V.,1550,38,1,0,0,0,0,0,,0,0
Wedding,"Kameruner Straße 0, Wedding, Berlin","Kameruner Straße, Berlin",HousingAnywhere B.V.,1790,57,1,0,0,0,0,0,,0,0
Lichterfelde,"Lichterfelde, Berlin","Exklusive, geräumige 3-Zimmer-Wohnung in Berlin",Private offer,1850,106,3,0,1,0,0,1,,0,0
Prenzlauer Berg,"Marthashof 0, Prenzlauer Berg, Berlin","Marthashof, Berlin",HousingAnywhere B.V.,2500,76,1,0,0,0,0,0,,0,1
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,10000,250,2,0,0,0,0,0,,0,0
Schöneberg,"Karl-Schrader-Straße 0, Schöneberg, Berlin","Karl-Schrader-Straße, Berlin",HousingAnywhere B.V.,1495,45,1,0,0,0,0,0,,0,0
Wedding,"Ostender Straße 0, Wedding, Berlin","Ostender Straße, Berlin",HousingAnywhere B.V.,2300,66,3,0,0,0,0,0,,0,0
Neukölln,"Reuterstraße 0, Neukölln (Ortsteil), Berlin","Reuterstraße, Berlin",HousingAnywhere B.V.,1199,30,1,0,0,0,0,0,,0,1
Steglitz,"Ermanstraße 0, Steglitz, Berlin","Ermanstraße, Berlin",HousingAnywhere B.V.,900,22,1,0,0,0,0,0,,0,1
Prenzlauer Berg,"Prenzlauer Berg, Berlin",Fehrbelliner.90 - Möbliertes Wohnen auf Zeit,Estate agent,4900,96,2,1,0,0,0,0,,0,0
Charlottenburg,"Krumme Str. 54, Charlottenburg, Berlin",Furnished 3 rooms apartment in Charlottenburg (Berlin),Estate agent,3062,78,3,1,0,0,1,0,,0,0
Weißensee,"Gounodstraße 23, Weißensee, Berlin",Stilvoll möblierte 2-Zimmerwohnung in Weißensee,Estate agent,1220,55,2,1,0,0,0,0,,0,0
Kreuzberg,"Cuvrystraße 0, Kreuzberg, Berlin","Cuvrystraße, Berlin",HousingAnywhere B.V.,1350,35,1,0,0,0,0,0,,0,0
Oberschöneweide,"Wilhelminenhofstraße 0, Oberschöneweide, Berlin","Wilhelminenhofstraße, Berlin",HousingAnywhere B.V.,1850,30,1,0,0,0,0,0,,0,0
Rummelsburg,"Lückstraße 0, Rummelsburg, Berlin","Lückstraße, Berlin",HousingAnywhere B.V.,1350,50,1,0,0,0,0,0,,0,1
Neukölln,"Hermannstraße 0, Neukölln (Ortsteil), Berlin","Hermannstraße, Berlin",HousingAnywhere B.V.,4599,40,1,0,0,0,0,0,,0,1
Neukölln,"Hermannstraße 0, Neukölln (Ortsteil), Berlin","Hermannstraße, Berlin",HousingAnywhere B.V.,3075,25,1,0,0,0,0,0,,0,1
Mitte,"Rochstraße 0, Mitte (Ortsteil), Berlin","Rochstraße, Berlin",HousingAnywhere B.V.,1600,50,1,0,0,0,0,0,,0,1
Wedding,"Malplaquetstraße 0, Wedding, Berlin","Malplaquetstraße, Berlin",HousingAnywhere B.V.,2750,80,2,0,0,0,0,0,,0,0
Kreuzberg,"Böckhstraße 0, Kreuzberg, Berlin","Böckhstraße, Berlin",HousingAnywhere B.V.,1650,44,1,0,0,0,0,0,,0,0
Kreuzberg,"Müllenhoffstraße 0, Kreuzberg, Berlin","Müllenhoffstraße, Berlin",HousingAnywhere B.V.,2150,65,1,0,0,0,0,0,,0,0
Borsigwalde,"Räuschstraße 66, Borsigwalde, Berlin",voll möblierte 2- Zimmerwohnung mit Balkon,Estate agent,1450,57,2,1,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3500,67,2,0,0,0,0,0,,0,0
Mitte,"Strelitzer Straße 0, Mitte (Ortsteil), Berlin","Strelitzer Straße, Berlin",HousingAnywhere B.V.,3900,83,2,0,0,0,0,0,,0,0
Niederschönhausen,"Grabbeallee 61, Niederschönhausen, Berlin","Geräumige, modernisierte 2-Zimmerwohnung mit Balkon zu vermieten",Estate agent,1520.56,74.41,2,0,0,0,0,0,,0,0
Mitte,"Strelitzer Straße 0, Mitte (Ortsteil), Berlin","Strelitzer Straße, Berlin",HousingAnywhere B.V.,3900,92,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Pappelallee 0, Prenzlauer Berg, Berlin","Pappelallee, Berlin",HousingAnywhere B.V.,2000,30,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Rhinower Straße 0, Prenzlauer Berg, Berlin","Rhinower Straße, Berlin",HousingAnywhere B.V.,3200,70,2,0,0,0,0,0,,0,0
Spandau,"Lynarstraße 0, Spandau (Ortsteil), Berlin","Lynarstraße, Berlin",HousingAnywhere B.V.,1800,40,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Choriner Straße 0, Prenzlauer Berg, Berlin","Choriner Straße, Berlin",HousingAnywhere B.V.,3400,75,2,0,0,0,0,0,,0,0
Mitte,"Torstraße 0, Mitte (Ortsteil), Berlin","Torstraße, Berlin",HousingAnywhere B.V.,3000,90,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Greifswalder Straße 0, Prenzlauer Berg, Berlin","Greifswalder Straße, Berlin",HousingAnywhere B.V.,1900,33,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Immanuelkirchstraße 0, Prenzlauer Berg, Berlin","Immanuelkirchstraße, Berlin",HousingAnywhere B.V.,1630,40,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Angermünder Straße 0, Prenzlauer Berg, Berlin","Angermünder Straße, Berlin",HousingAnywhere B.V.,2550,85,2,0,0,0,0,0,,0,0
Wilmersdorf,"Homburger Straße 0, Wilmersdorf, Berlin","Homburger Straße, Berlin",HousingAnywhere B.V.,1430,75,1,0,0,0,0,0,,0,0
Charlottenburg,"Waitzstraße 16, Charlottenburg, Berlin",Frisch renovierte 4-Zimmer Altbauwohnung am Adenauerplatz,Estate agent,2829.36,140.08,4,1,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3150,58,1,0,0,0,0,0,,0,0
Kreuzberg,"Heimstraße 0, Kreuzberg, Berlin","Heimstraße, Berlin",HousingAnywhere B.V.,1180,33,1,0,0,0,0,0,,0,0
Friedrichshain,"Straßmannstraße 0, Friedrichshain, Berlin","Straßmannstraße, Berlin",HousingAnywhere B.V.,2450,80,2,0,0,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,1450,45,1,0,0,0,0,0,,0,0
Charlottenburg,"Englische Straße 0, Charlottenburg, Berlin","Englische Straße, Berlin",HousingAnywhere B.V.,5550,30,1,0,0,0,0,0,,0,0
Kreuzberg,"Kreuzberg, Berlin",GROSSZÜGIGE & SONNIGE 3-Zi.-WOHNUNG MIT AUFZUG! DIREKT AN DER MARKTHALLE 9!,Estate agent,1850,86.37,3,1,1,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,1650,80,2,0,0,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,6341,180,5,0,0,0,0,0,,0,0
Grunewald,"Grunewald, Berlin",beste Grunewald-Lage nah Wildpfad + elegantes Wohnen im 1. (obersten) OG + 4 Zi mit großer Terrasse,Estate agent,4820,221,4,1,0,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,1950,52,1,0,0,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,1750,50,1,0,0,0,0,0,,0,0
Moabit,"Perleberger Straße 0, Moabit, Berlin","Perleberger Straße, Berlin",HousingAnywhere B.V.,6242,180,5,0,0,0,0,0,,0,0
Mitte,"Zimmerstraße 95, Mitte (Ortsteil), Berlin","Moderne und top ausgestattete 2 Zimmer Wohnung mit ca. 52m², EBK und Balkon in Berlin-Mitte!",Estate agent,1725,52.84,2,0,0,0,1,0,,0,0
Mitte,"Zimmerstraße 97A, Mitte (Ortsteil), Berlin","Wunderschönes Townhouse mit 5 Zimmern, Dachterrasse und EBK in Premium-Lage in Mitte!",Estate agent,5100,206.76,5,0,0,0,0,0,,0,0
Mitte,"Brunnenstraße 0, Mitte (Ortsteil), Berlin","Brunnenstraße, Berlin",HousingAnywhere B.V.,2300,60,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Hagenauer Straße 0, Prenzlauer Berg, Berlin","Hagenauer Straße, Berlin",HousingAnywhere B.V.,1790,40,1,0,0,0,0,0,,0,0
Moabit,"Jagowstraße 0, Moabit, Berlin","Jagowstraße, Berlin",HousingAnywhere B.V.,1450,36,1,0,0,0,0,0,,0,0
Friedrichshain,"Grünberger Straße 0, Friedrichshain, Berlin","Grünberger Straße, Berlin",HousingAnywhere B.V.,2100,52,1,0,0,0,0,0,,0,0
Friedrichshain,"Grünberger Straße 0, Friedrichshain, Berlin","Grünberger Straße, Berlin",HousingAnywhere B.V.,1950,40,1,0,0,0,0,0,,0,0
Friedrichshain,"Grünberger Straße 0, Friedrichshain, Berlin","Grünberger Straße, Berlin",HousingAnywhere B.V.,1699,30,1,0,0,0,0,0,,0,0
Wedding,"Lütticher Straße 0, Wedding, Berlin","Lütticher Straße, Berlin",HousingAnywhere B.V.,1550,40,1,0,0,0,0,0,,0,0
Friedrichshain,"Grünberger Straße 0, Friedrichshain, Berlin","Grünberger Straße, Berlin",HousingAnywhere B.V.,1500,19,1,0,0,0,0,0,,0,0
Wedding,"Sprengelstraße 0, Wedding, Berlin","Sprengelstraße, Berlin",HousingAnywhere B.V.,1480,32,1,0,0,0,0,0,,0,0
Kreuzberg,"Hasenheide 0, Kreuzberg, Berlin","Hasenheide, Berlin",HousingAnywhere B.V.,3100,24,1,0,0,0,0,0,,0,0
Wedding,"Lüderitzstraße 0, Wedding, Berlin","Lüderitzstraße, Berlin",HousingAnywhere B.V.,1800,60,2,0,0,0,0,0,,0,0
Charlottenburg,"Holtzendorffstraße 0, Charlottenburg, Berlin","Holtzendorffstraße, Berlin",HousingAnywhere B.V.,2100,48,1,0,0,0,0,0,,0,0
Friedrichshain,"Heidenfeldstraße 0, Friedrichshain, Berlin","Heidenfeldstraße, Berlin",HousingAnywhere B.V.,1600,40,1,0,0,0,0,0,,0,1
Zehlendorf,"Brettnacher Straße 0, Zehlendorf, Berlin","Brettnacher Straße, Berlin",HousingAnywhere B.V.,1400,70,1,0,0,0,0,0,,0,0
Karlshorst,"Karlshorst, Berlin","Außergewöhnlich & Modern, Penthouse in bester Lage! *Erstbezug",Estate agent,3635,165,4,0,0,0,0,0,,0,0
Moabit,"Siemensstraße 0, Moabit, Berlin","Siemensstraße, Berlin",HousingAnywhere B.V.,2950,140,3,0,0,0,0,0,,0,0
Charlottenburg,"Goethestraße 0, Charlottenburg, Berlin","Goethestraße, Berlin",HousingAnywhere B.V.,1600,40,1,0,0,0,0,0,,0,0
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,3500,130,2,0,0,0,0,0,,0,0
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,3500,140,1,0,0,0,0,0,,0,0
Mitte,"Chausseestraße 0, Mitte (Ortsteil), Berlin","Chausseestraße, Berlin",HousingAnywhere B.V.,1750,50,1,0,0,0,0,0,,0,1
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,1800,40,1,0,0,0,0,0,,0,0
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,1800,40,1,0,0,0,0,0,,0,0
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,1700,40,1,0,0,0,0,0,,0,0
Weißensee,"Rossinistraße 0, Weißensee, Berlin","Rossinistraße, Berlin",HousingAnywhere B.V.,1995,55,2,0,0,0,0,0,,0,0
Westend,"Nürnberger Straße 0, Westend, Berlin","Nürnberger Straße, Berlin",HousingAnywhere B.V.,1900,67,1,0,0,0,0,0,,0,0
Mitte,"Chausseestraße 0, Mitte (Ortsteil), Berlin","Chausseestraße, Berlin",HousingAnywhere B.V.,1780,44,1,0,0,0,0,0,,0,1
Schmöckwitz,"Seddinpromenade 0, Schmöckwitz, Berlin","Seddinpromenade, Berlin",HousingAnywhere B.V.,1129,39,1,0,0,0,0,0,,0,0
Mitte,"Almstadtstraße 0, Mitte (Ortsteil), Berlin","Almstadtstraße, Berlin",HousingAnywhere B.V.,1550,51,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Immanuelkirchstraße 0, Prenzlauer Berg, Berlin","Immanuelkirchstraße, Berlin",HousingAnywhere B.V.,1790,43,1,0,0,0,0,0,,0,0
Wedding,"Lüderitzstraße 0, Wedding, Berlin","Lüderitzstraße, Berlin",HousingAnywhere B.V.,1800,65,2,0,0,0,0,0,,0,0
Tiergarten,"Gabriele-Tergit-Promenade 0, Tiergarten, Berlin","Gabriele-Tergit-Promenade, Berlin",HousingAnywhere B.V.,2790,100,2,0,0,0,0,0,,0,1
Tiergarten,"Gabriele-Tergit-Promenade 0, Tiergarten, Berlin","Gabriele-Tergit-Promenade, Berlin",HousingAnywhere B.V.,2050,43,1,0,0,0,0,0,,0,1
Mitte,"Rochstraße 0, Mitte (Ortsteil), Berlin","Rochstraße, Berlin",HousingAnywhere B.V.,1600,50,1,0,0,0,0,0,,0,1
Oberschöneweide,"Klarastraße  6, Oberschöneweide, Berlin",Klassischer 3-Zimmer Altbau!,Estate agent,1378.45,72.55,3,0,0,0,0,0,,0,0
Zehlendorf,"Walterhöferstraße 0, Zehlendorf, Berlin","Walterhöferstraße, Berlin",HousingAnywhere B.V.,1340,47,1,0,0,0,0,0,,0,0
Neukölln,"Hertzbergstraße 0, Neukölln (Ortsteil), Berlin","Hertzbergstraße, Berlin",HousingAnywhere B.V.,1450,49,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Heinz-Kapelle-Straße 0, Prenzlauer Berg, Berlin","Heinz-Kapelle-Straße, Berlin",HousingAnywhere B.V.,3500,97,3,0,0,0,0,0,,0,0
Mitte,"Krausnickstraße 0, Mitte (Ortsteil), Berlin","Krausnickstraße, Berlin",HousingAnywhere B.V.,2400,75,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Korsörer Straße 0, Prenzlauer Berg, Berlin","Korsörer Straße, Berlin",HousingAnywhere B.V.,1650,36,1,0,0,0,0,0,,0,0
Oberschöneweide,"Klarastraße 5, Oberschöneweide, Berlin",Helle 2 Zimmer Wohnung in Köpenick!,Estate agent,1043.86,54.94,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schliemannstraße 0, Prenzlauer Berg, Berlin","Schliemannstraße, Berlin",HousingAnywhere B.V.,3000,110,2,0,0,0,0,0,,0,0
Moabit,"Jagowstraße 0, Moabit, Berlin","Jagowstraße, Berlin",HousingAnywhere B.V.,1500,36,1,0,0,0,0,0,,0,0
Tiergarten,"Lützowstr. 111B, Tiergarten, Berlin",+++ Neubau! +++ Erstbezug! +++ Top-Ausstattung! +++,Estate agent,2890.12,97.97,4,1,0,0,0,0,,0,0
Lankwitz,"Bernkastler Straße 0, Lankwitz, Berlin","Bernkastler Straße, Berlin",HousingAnywhere B.V.,1450,39,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Berg, Berlin",MÖBLIERTES Apartment am Helmholtzplatz! FURNISHED apartment at popular Helmholtzplatz!,Estate agent,1531.74,36,1,1,0,0,0,0,,0,0
Charlottenburg,"Kurfürstendamm 0, Charlottenburg, Berlin","Kurfürstendamm, Berlin",HousingAnywhere B.V.,2250,52,1,0,0,0,0,0,,0,1
Wilmersdorf,"Laubacher Straße 0, Wilmersdorf, Berlin","Laubacher Straße, Berlin",HousingAnywhere B.V.,1250,60,1,0,0,0,0,0,,0,0
Weißensee,"Rossinistraße 0, Weißensee, Berlin","Rossinistraße, Berlin",HousingAnywhere B.V.,1995,55,2,0,0,0,0,0,,0,0
Weißensee,"Rossinistraße 0, Weißensee, Berlin","Rossinistraße, Berlin",HousingAnywhere B.V.,1690,60,2,0,0,0,0,0,,0,0
Charlottenburg,"Sophie-Charlotten-Straße 0, Charlottenburg, Berlin","Sophie-Charlotten-Straße, Berlin",HousingAnywhere B.V.,1650,44,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Schwedter Straße 0, Prenzlauer Berg, Berlin","Schwedter Straße, Berlin",HousingAnywhere B.V.,1690,50,1,0,0,0,0,0,,0,0
Schmargendorf,"Hohenzollerndamm 0, Schmargendorf, Berlin","Hohenzollerndamm, Berlin",HousingAnywhere B.V.,1100,32,1,0,0,0,0,0,,0,0
Rahnsdorf,"Fürstenwalder Allee 0, Rahnsdorf, Berlin","Fürstenwalder Allee, Berlin",HousingAnywhere B.V.,1600,54,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Metzer Straße 0, Prenzlauer Berg, Berlin","Metzer Straße, Berlin",HousingAnywhere B.V.,3470,110,3,0,0,0,0,0,,0,0
Prenzlauer Berg,"Metzer Straße 0, Prenzlauer Berg, Berlin","Metzer Straße, Berlin",HousingAnywhere B.V.,3215,80,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Greifswalder Straße 0, Prenzlauer Berg, Berlin","Greifswalder Straße, Berlin",HousingAnywhere B.V.,2850,41,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Greifswalder Straße 0, Prenzlauer Berg, Berlin","Greifswalder Straße, Berlin",HousingAnywhere B.V.,2850,41,2,0,0,0,0,0,,0,0
Prenzlauer Berg,"Greifswalder Straße 0, Prenzlauer Berg, Berlin","Greifswalder Straße, Berlin",HousingAnywhere B.V.,1900,33,1,0,0,0,0,0,,0,0
