district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Steglitz,"Steglitz, Berlin",Wunderschönes Dachgeschoss im Erstbezug,Estate agent,2006.7,103.85,2,0,1,1,0,0,,0,0
Lankwitz,"Lankwitz, Berlin",Bitte nicht klicken!,Private offer,1400,60,2,1,0,0,0,0,,0,0
Mitte,"Köpenicker Straße 43, Mitte (Ortsteil), Berlin",THE FIZZ Berlin – Möbliertes Double Studio für Studenten,Estate agent,1293,32,1,1,0,1,0,0,,0,0
Mitte,"Köpenicker Straße  43, Mitte (Ortsteil), Berlin",THE FIZZ Berlin – Vollmöbliertes Single Studio für Studenten,Estate agent,976,20,1,1,0,1,0,0,,0,0
Moabit,"Moabit, Berlin",Co-Living - THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1149,30,1,1,0,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1290,30,1,0,1,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",THE HOUSE OF CO - Stylische Apartments,Booking House of Co,1340,30,1,0,1,0,1,0,,0,0
Köpenick,"Grünstrasse 6, Köpenick, Berlin",3-Zimmer-Wohnung in Köpenicks Altstadt,Estate agent,2570,117,3,0,0,0,0,1,,0,0
Friedrichshagen,"Bölschestraße 106/107, Friedrichshagen, Berlin","Klein, aber dafür was Eigenes!",Degewo,277.89,24.97,1,0,0,0,0,0,,0,0
Köpenick,"Güldenauer Weg 70, Köpenick, Berlin",Nachmieter gesucht,Degewo,560.13,51.26,2,0,0,0,0,0,,0,0
Köpenick,"Grüne Trift 158, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung - WBS100 erforderlich!,Degewo,1014.81,93.79,4,0,0,0,0,1,,0,0
Wilhelmstadt,"Pichelsdorfer Straße 133, Wilhelmstadt, Berlin",3-Zimmer Altbauwohnung mit 2 Balkonen in Wilhelmstadt,Estate agent,1326.03,96.58,3,0,0,0,0,1,,0,0
Karlshorst,"Karlshorst, Berlin",ERSTBEZUG! EXKLUSIVE ERGESCHOSSWOHNUNG IN ZENTRALER LAGE,Estate agent,2220,111,4,1,0,0,0,0,,0,0
Lankwitz,"Mühlenstr. 17, Lankwitz, Berlin",Sanierte 3-Zimmer Wohnung mit Balkon,Private offer,1930,99,3,0,0,0,0,0,,0,0
Köpenick,"Grüne Trift 156, Köpenick, Berlin",Neubau - Erstbezug - Musterwohnung,Degewo,1296.18,93.79,4,0,0,0,0,1,,0,0
Konradshöhe,"Edeltrautweg 22, Konradshöhe, Berlin",Kernsanierte 4 Zimmerwohnung - mit Wasserblick & Zugang in ruhiger Lage,Private offer,2370,110,4,0,0,1,0,0,,0,0
Köpenick,"Grüne Trift 158, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung,Degewo,1161.3,84.03,3,0,0,0,1,0,,0,0
Köpenick,"Igelsteig 7B, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung,Degewo,1770.74,111.93,5,0,0,0,0,1,,0,0
Köpenick,"Igelsteig 7B, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung,Degewo,1511.89,93.79,4,0,0,0,0,1,,0,0
Köpenick,"Igelsteig 7B, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung - WBS erforderlich!,Degewo,771.84,70.04,3,0,0,0,1,0,,0,0
Köpenick,"Igelsteig 7B, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung,Degewo,1329.36,84.03,3,0,0,0,1,0,,0,0
Köpenick,"Igelsteig 7B, Köpenick, Berlin",Neubau im Erstbezug - Musterwohnung - WBS erforderlich!,Degewo,444.99,40.38,1,0,0,0,1,0,,0,0
Marzahn,"Schwarzwurzelstraße 79, Marzahn, Berlin",Besser geht es nicht für eine Single Wohnung!,Degewo,445.75,43.58,1,0,0,0,0,0,,0,0
Marzahn,"Golliner Straße 48, Marzahn, Berlin",Wohnen im Grünen,Degewo,627.83,86.55,4,0,0,0,0,0,,0,0
Dahlem,"Dahlem, Berlin",Familienfreundliche 4-Zimmer Wohnung  in Zehlendorf,Estate agent,2737,143,4,1,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",Loftartige Dachgeschoss-Maisonette mit spektakulärem Blick über Berlin,Estate agent,5950,262,4,1,0,0,0,0,,0,0
Schöneberg,"Schöneberg, Berlin",Gemütliche Dachgeschosswohnung nahe KaDeWe,Estate agent,2895,110,3,1,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",Lichtdurchflutetes Dachgeschoss mit Aufdachterrasse,Estate agent,3730,180,3.5,1,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",Residieren auf höchstem Niveau - vollmöbliertes Altbauhighlight,Estate agent,6950,253,7,1,0,0,0,1,,0,0
Halensee,"Halensee, Berlin",Traumhafte Dachgeschossmaisonette Wohnung  in bester City-Lage,Estate agent,3970,140,5,1,0,0,0,0,,0,0
Hermsdorf,"Hermsdorf, Berlin",Penthouse über den Dächern von Hermsdorf,Estate agent,3172,233,3,1,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin","Exklusiver Erstbezug im ""fiftysix""",Estate agent,2800,76,2.5,0,0,1,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",Erstbezug: Spektakuläres Penthouse in City-Lage,Estate agent,12450,321,5,1,0,0,0,0,,0,0
Schmargendorf,"Schmargendorf, Berlin",Möblierte Luxuswohnung im Herzen von Grunewald,Estate agent,11500,197,4,1,0,0,0,0,,0,0
Köpenick,"Carl-Spindler-Straße 1, Köpenick, Berlin",2 Raumwohnungen mit und ohne Wasserblick,Estate agent,943.5,51,2,0,1,0,0,0,,0,0
Köpenick,"Am Schloßberg 4, Köpenick, Berlin",2 Zimmerwohnung mit großzügigem Balkon in Köpenick,Estate agent,913.51,68,2,0,0,0,0,0,,0,0
Friedrichshain,"Friedrichshain, Berlin",Helle 1-Raumwohnung mit kleinem Balkon,Private offer,1030,37,1,0,0,0,0,0,,0,0
Friedrichshain,"Neue Bahnhofstraße 26b, Friedrichshain, Berlin",Helle 2- Zimmer Dachgeschosswohnung in Friedrichshain!,Estate agent,1892.9,82.3,2,1,0,0,0,0,,0,0
Nikolassee,"Nikolassee, Berlin",Haus im Haus - Familiendomizil an der Rehwiese,Estate agent,6750,253,7,1,0,0,0,0,,0,0
Tempelhof,"Tempelhof, Berlin",KEINE WG-Whg: Ehemals hochherschaftliche 6 Zi-Whg am Tempelhofer Damm,Estate agent,2697.44,230,6,0,1,0,0,0,,0,0
Mitte,"Bergstraße 68, Mitte (Ortsteil), Berlin",Modernes Singleapartment - vollmöbliertes Wohnen nahe Kollwitzkiez!,Estate agent,2480,73,2,1,0,0,0,0,,0,0
Mitte,"Monbijoustraße 3/5, Mitte (Ortsteil), Berlin",Leben in der Residenz Monbijou - herrschaftliches Penthouse am Weltkulturerbe!,Estate agent,11574,375,8,1,0,0,0,0,,0,0
Mitte,"Rungestraße 3-6, Mitte (Ortsteil), Berlin",Stilvoll möbliert - großzügiges Loft im denkmalgeschützen Metropolpark!,Estate agent,3950,128,2,1,0,0,0,0,,0,0
Friedrichshain,"Mühlenstraße 20, Friedrichshain, Berlin",Vollmöbliert - attraktives Wohnerlebnis an der East Side Gallery!,Estate agent,1950,56,2,1,0,0,0,0,,0,0
Mitte,"Schwartzkopffstraße 1A, Mitte (Ortsteil), Berlin",Sapphire by Libeskind – Wohnen im Architekturunikat Berlins!,Estate agent,2650,81,3,1,0,0,0,0,,0,0
Prenzlauer Berg,"Kopenhagener Str. 67, Prenzlauer Berg, Berlin",Attraktives Wohnen im Gleimviertel!,Estate agent,2700,86,4,1,0,0,0,0,,0,0
Niederschönhausen,"Treskowstraße 19, Niederschönhausen, Berlin",Vollmöbliert und löffelfertig: attraktives Apartment mit Garten und Terrasse!,Estate agent,3620,144,3,1,0,0,0,0,,0,0
Friedrichshain,"Kadiner Str. 15, Friedrichshain, Berlin",Erstvermietung nach umfassender Modernisierung - modernes Apartment nahe Boxhagener Platz!,Estate agent,1944,74,2,1,0,0,0,0,,0,0
Wedding,"Lindower Straße 3.1.1 18, Wedding, Berlin",Beeindruckendes Designer-Loft mit luxuriöser Ausstattung!,Estate agent,8790,190,3,1,0,0,0,0,,0,0
Wedding,"Lindower Straße 5.5.1 18, Wedding, Berlin",Stadtflucht: High-End Loft mit erstklassigem Interieur und Dachterrasse!,Estate agent,5800,122,2,1,1,0,0,0,,0,0
Schöneberg,"Schöneberg, Berlin",Frankenstr. Nahe Winterfeldplatz: 3-Zi-DG-Whg mit EBK Terrasse u. Aufzug,Estate agent,3323.52,103.86,3,1,0,0,0,0,,0,0
Mitte,"Linienstraße 32, Mitte (Ortsteil), Berlin",Vollmöbliert - edle Residenz im historischen Scheunenviertel!,Estate agent,4173,110,3,1,0,0,0,0,,0,0
Mitte,"Oberwallstraße 13, Mitte (Ortsteil), Berlin",Berlin im Blick - einzigartiges Townhouse im Herzen Berlins!,Estate agent,16284,456,4,1,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Berg, Berlin",Traumhaftes Wohnen für Familien mit großem Garten und Terrasse!,Estate agent,5600,280,7,1,0,0,0,0,,0,0
Wedding,"Lindower Straße 5.2.2 18, Wedding, Berlin",Luxuriöses Loft mit mondäner Ausstattung und beeindruckenden Ausblicken - Erstbezug!,Estate agent,4000,73,2,1,1,0,0,0,,0,0
Mitte,"Am Zirkus  3a, Mitte (Ortsteil), Berlin",*Außergewöhnliche Dachgeschoss-Maisonette mit Loft-Charakter nahe Friedrichstadtpalast*,Estate agent,4310,146,3,1,0,0,0,0,,0,0
Friedrichshain,"Pettenkoferstraße 12, Friedrichshain, Berlin",Ausgezeichnete Architektur: Wohnen im Polygongarten!,Estate agent,3150,118,2,1,0,0,0,0,,0,0
Friedrichshain,"Oderstraße 12, Friedrichshain, Berlin",Lichtdurchflutetes Penthouse mit traumhafter 360-Grad Dachterrasse und Sauna!,Estate agent,7100,238,5,0,1,0,0,0,,0,0
Prenzlauer Berg,"Choriner Straße 59, Prenzlauer Berg, Berlin",Stilvoll möbliert - modernes Familienapartment in urbaner Lage!,Estate agent,4050,119,3,1,1,0,0,0,,0,0
Lichterfelde,"Unter den Eichen 96, Lichterfelde, Berlin",Home & Co – Easy Living | Möbliertes All-Inclusive Wohnen,Estate agent,959,24,1,1,0,0,0,0,,0,0
