district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
rahnsdorf,"Rahnsdorf, Berlin","RIVERSIDE - mit Wasserblick, direktem Wasserzugang und Südbalkon",1704.0,80.37,3.0,1,1,0,0,0,0,0,0
rahnsdorf,"Abendseglersteig 73, Rahnsdorf, Berlin","Dämeritzer-Ufer - 3,5 Zimmer im Dachgeschoss mit 42 qm Terrasse",2094.0,98.43,3.5,1,1,0,0,0,0,0,0
altglienicke,"Teutonenstraße 3, Altglienicke, Berlin","Zaunkönige - 4 Zimmer mit Pakett, EBK und Balkon im Erstbezug.... befristet bis 30.07.2024",2250.0,100.71,4.0,0,0,0,0,0,0,0,0
schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",3-Zimmer-Appartment mit Extra-Service!,4483.62,85.57,3.0,1,1,0,0,0,0,0,0
schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",1-Zimmer-Appartment mit Extra-Service!,2548.1,35.67,1.0,1,1,0,0,0,0,0,0
prenzlauer berg,"Prenzlauer Berg, Berlin",Eberswalder.35 - Möbliertes wohnen auf Zeit,10500.0,190.0,4.0,1,1,0,0,0,0,0,0
wilmersdorf,"Wilmersdorf, Berlin",Wittelsbacher.15 - Möbliertes wohnen auf Zeit,5500.0,113.0,3.0,0,1,0,0,0,0,1,0
mitte,"Cora-Berliner-Straße 2-4, Mitte (Ortsteil), Berlin",B.PLACE - Best Location – Wohnen am Park der Metropole,3423.2,60.0,2.0,1,1,0,0,0,0,0,0
friedrichshain,"Friedrichshain, Berlin",Moderne 2-Zimmer-Wohnung nahe der East-Side-Gallery,2250.0,100.25,2.0,1,1,1,0,0,0,0,0
prenzlauer berg,"Prenzlauer Berg, Berlin",Einzigartige Altbau-Dachgeschosswohnung in Top-Lage,3974.0,126.2,3.0,1,1,1,0,0,0,0,0
friedrichshain,"Friedrichshain, Berlin",900 € - 36.34 m² - 1.0 Zi.,900.0,36.34,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",SCHÖNE MÖBLIERTE  2-ZIMMER-WOHNUNG MIT BLICK AUF DIE SPREE IN HERTZEN BERLINS,1416.19,60.2,2.0,1,1,1,0,0,0,0,0
schöneberg,"Martin Luther Str. 84, Schöneberg, Berlin",4 Jahre befristet - Großzügiger Altbau in zentraler Schöneberg Lage - Anfragen bitte schriftlich,1853.0,150.81,5.0,1,1,0,0,0,0,0,0
wilmersdorf,"Wilmersdorf, Berlin",Wohnen in Kudamm Nähe - Große und helle 3 Zimmerwohnung,3074.0,116.0,3.0,1,1,0,0,1,0,0,0
charlottenburg,"Philippistraße 8, Charlottenburg, Berlin",Sonnige Vier-Zimmer-Altbauwohnung.,1592.0,105.32,4.0,0,1,0,0,0,0,0,0
heinersdorf,"Treskowstr. 21, Heinersdorf, Berlin",Exklusive voll möblierte 1- Zimmer-Neubauwohnung in Pankow: Modernes Wohnen,1500.0,34.0,1.0,1,1,1,0,0,0,0,0
tempelhof,"Werner-Voß-Damm -, Tempelhof, Berlin","Teilmöbliert Wohnung, Berlin Südkreuz Bhf",2090.0,90.0,3.0,0,0,1,0,0,0,0,0
kreuzberg,"Kreuzberg, Berlin",Rooftop 71m² Terrace Furnished - Bergmannkiez - Dachwohnung 75m² Terrasse Möbliert,2250.0,71.0,2.0,1,1,0,0,0,0,1,0
steglitz,"Rothenburgstraße 44, Steglitz, Berlin","Beeindruckendes Dachgeschoss, 5 Zimmer, 2 Bäder, 2 Terrassen!",2250.0,113.0,5.0,1,0,0,0,0,0,0,0
steglitz,"Steglitz, Berlin","Helle und Moderne 3-Zimmer Wohnung ""möbliert"" in Steglitz",2200.0,90.0,3.0,1,1,1,0,0,0,0,0
mitte,"Albrechtstraße -, Mitte (Ortsteil), Berlin","Stilvolle, geräumige, modernisierte 3-Zi.Whg. mit Balkon, EBK, Aufzug in Toplage. Befristet auf 3 J.",2576.0,116.0,3.0,1,1,1,0,0,0,0,0
gesundbrunnen,"Voltastraße 36, Gesundbrunnen, Berlin",Helles 3-Zimmer-Wohnung im 5.OG Berlin neben der Volkspark Humboldthain,2900.0,132.0,3.0,1,1,0,1,0,0,0,0
schöneberg,"Ansbacher Str. 11, Schöneberg, Berlin",DG-Wohnung nahe Wittenbergplatz mit 2 Schlafzimmern,2885.0,110.0,3.0,1,1,1,0,0,0,0,0
charlottenburg,"Dernburgstraße 26, Charlottenburg, Berlin",Helles 4-Zimmer-Penthouse über 2 Ebenen,3350.0,130.0,4.0,1,1,1,0,0,0,0,0
grünau,"Schlierseestraße 2, Grünau, Berlin",Lichtdurchflutetes Penthouse mit umlaufender Terrasse und Tageslicht Bad,3634.0,112.4,3.0,0,0,0,0,0,0,0,0
biesdorf,"Biesdorf, Berlin",Traumhafte 3-Zimmer-Neubauwohnung mit großer Loggia – SOFORT BEZUGSFREI,1988.45,82.9,3.0,1,0,1,0,1,0,0,0
grünau,"Schlierseestraße 2, Grünau, Berlin",Sofort bezugsfreie 3-Zimmer Wohnung mit Privatgarten und Terrasse,2230.0,85.9,3.0,0,0,0,0,0,0,0,0
charlottenburg,"Meinekestraße  23, Charlottenburg, Berlin",Maisonette für Sie?,3532.3,172.51,4.0,1,1,0,0,1,0,0,0
grunewald,"Koenigsallee 19a, Grunewald, Berlin",**Schöne Maisonette für SIE im Grünen**,4111.19,206.77,3.0,1,1,0,1,0,0,0,0
charlottenburg,"Bismarckstraße 70, Charlottenburg, Berlin",Möblierte 4-Zimmer-Altbauwohnung - Mietdauer etwa 2 Jahren - ab 01.04.2023,2690.0,130.0,4.0,1,0,0,0,0,0,0,0
prenzlauer berg,"Fehrbelliner 14, Prenzlauer Berg, Berlin",Designer Apartment by Grapht Architects am Teutoburger Platz,3550.0,83.0,3.0,1,1,1,0,0,0,0,0
steglitz,"Steglitz, Berlin",Wunderschönes Dachgeschoss im Erstbezug,2006.7,103.85,2.0,0,0,1,1,0,0,1,0
lankwitz,"Lankwitz, Berlin",Bitte nicht klicken!,1400.0,60.0,2.0,1,1,0,1,0,0,0,0
mitte,"Köpenicker Straße 43, Mitte (Ortsteil), Berlin",THE FIZZ Berlin – Möbliertes Double Studio für Studenten,1293.0,32.0,1.0,0,1,0,1,1,0,0,0
