district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",2345.0,50.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1699.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1679.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1659.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1917.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1897.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1877.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",2229.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",2209.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",2189.0,46.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1387.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1367.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1347.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1553.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1533.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1513.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1865.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1845.0,41.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Brunnenstraße 0, Gesundbrunnen, Berlin","Brunnenstraße, Berlin",1825.0,41.0,1.0,0,0,0,0,0,0,0,0
köpenick,"Lindenstraße 0, Köpenick, Berlin","Lindenstraße, Berlin",1241.0,29.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Leibnizstraße 0, Charlottenburg, Berlin","Leibnizstraße, Berlin",1400.0,30.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Osloer Straße 76, Gesundbrunnen, Berlin",+++ Senioren Wohnung sucht Nachmieter +++ WBS für ältere Menschen +++,704.16,59.11,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Metzer Straße 0, Prenzlauer Berg, Berlin","Metzer Straße, Berlin",3700.0,95.0,4.0,0,0,0,0,0,0,0,0
friedrichshain,"Simplonstraße 0, Friedrichshain, Berlin","Simplonstraße, Berlin",2000.0,45.0,1.0,0,0,0,0,0,1,0,0
neukölln,"Weserstraße 0, Neukölln (Ortsteil), Berlin","Weserstraße, Berlin",2299.0,80.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Mehringplatz 0, Kreuzberg, Berlin","Mehringplatz, Berlin",1350.0,40.0,1.0,0,0,0,0,0,1,0,0
friedrichshain,"Frankfurter Tor 0, Friedrichshain, Berlin","Frankfurter Tor, Berlin",3190.0,110.0,2.0,0,0,0,0,0,0,0,0
mariendorf,"Großbeerenstraße 0, Mariendorf, Berlin","Großbeerenstraße, Berlin",4243.0,115.0,2.0,0,0,0,0,0,0,0,0
mitte,"Am Köllnischen Park 0, Mitte (Ortsteil), Berlin","Am Köllnischen Park, Berlin",1795.0,48.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Bastianstraße 0, Gesundbrunnen, Berlin","Bastianstraße, Berlin",1200.0,30.0,1.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Bastianstraße 0, Gesundbrunnen, Berlin","Bastianstraße, Berlin",2200.0,90.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Dessauer Straße 0, Kreuzberg, Berlin","Dessauer Straße, Berlin",1950.0,52.0,1.0,0,0,0,0,0,0,0,0
westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",1300.0,37.0,1.0,0,0,0,0,0,0,0,0
köpenick,"Lindenstraße 0, Köpenick, Berlin","Lindenstraße, Berlin",1400.0,60.0,2.0,0,0,0,0,0,1,0,0
friedrichshain,"Revaler Straße 0, Friedrichshain, Berlin","Revaler Straße, Berlin",2300.0,70.0,2.0,0,0,0,0,0,0,0,0
karlshorst,"Hönower Straße 5, Karlshorst, Berlin","*Erstbezug* 3,5 Zimmerwohnung mit Balkon und Aufzug*",2235.0,88.93,3.5,1,1,0,1,0,0,0,0
prenzlauer berg,"Nordkapstraße 0, Prenzlauer Berg, Berlin","Nordkapstraße, Berlin",1890.0,68.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Grenzallee 0, Neukölln (Ortsteil), Berlin","Grenzallee, Berlin",1195.0,33.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kaiser-Friedrich-Straße 0, Charlottenburg, Berlin","Kaiser-Friedrich-Straße, Berlin",2400.0,92.0,3.0,0,0,0,0,0,0,0,0
friedrichshagen,"Friedrichshagen, Berlin",Tauschwohnung: 3-Zimmer-Dachgeschoß gegen größer mit Garten,1060.0,86.0,3.0,1,1,0,0,0,0,1,0
mitte,"Gartenstraße 0, Mitte (Ortsteil), Berlin","Gartenstraße, Berlin",2400.0,93.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Stralauer Allee 0, Friedrichshain, Berlin","Stralauer Allee, Berlin",2700.0,113.0,3.0,0,0,0,0,0,0,0,0
charlottenburg,"Bismarckstraße 0, Charlottenburg, Berlin","Bismarckstraße, Berlin",2400.0,68.0,3.0,0,0,0,0,0,0,0,0
kreuzberg,"Böckhstraße 0, Kreuzberg, Berlin","Böckhstraße, Berlin",1350.0,45.0,1.0,0,0,0,0,0,0,0,0
westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",2050.0,82.0,3.0,0,0,0,0,0,1,0,0
tempelhof,"Manfred-von-Richthofen 28, Tempelhof, Berlin",2 rooms apartment in Kreuzberg/Tempelhof (Berlin),2051.0,64.0,2.0,1,1,0,0,1,0,0,0
tiergarten,"Genthiner Straße 0, Tiergarten, Berlin","Genthiner Straße, Berlin",2066.0,50.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Stargarder Straße 0, Prenzlauer Berg, Berlin","Stargarder Straße, Berlin",2038.0,42.0,1.0,0,0,0,0,0,0,0,0
oberschöneweide,"Wilhelminenhofstraße 0, Oberschöneweide, Berlin","Wilhelminenhofstraße, Berlin",28000.0,68.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Stargarder Strasse 73, Prenzlauer Berg, Berlin",3 rooms apartment in Prenzlauer Berg (Berlin),3405.0,81.0,3.0,0,1,0,0,0,0,0,0
gesundbrunnen,"Soldiner Straße 0, Gesundbrunnen, Berlin","Soldiner Straße, Berlin",2000.0,55.0,1.0,0,0,0,0,0,0,0,0
moabit,"Lehrter Straße 0, Moabit, Berlin","Lehrter Straße, Berlin",2343.0,47.0,1.0,0,0,0,0,0,1,0,0
marienfelde,"Malteserstraße 0, Marienfelde, Berlin","Malteserstraße, Berlin",1814.0,63.0,1.0,0,0,0,0,0,0,0,0
moabit,"Rathenower Straße 0, Moabit, Berlin","Rathenower Straße, Berlin",2200.0,128.0,1.0,0,0,0,0,0,0,0,0
moabit,"Beusselstraße 0, Moabit, Berlin","Beusselstraße, Berlin",2278.0,76.0,1.0,0,0,0,0,0,0,0,0
moabit,"Beusselstraße 0, Moabit, Berlin","Beusselstraße, Berlin",2194.0,74.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Bornholmer Straße 0, Prenzlauer Berg, Berlin","Bornholmer Straße, Berlin",1400.0,34.0,1.0,0,0,0,0,0,0,0,0
hellersdorf,"Kastanienallee 32, Hellersdorf, Berlin",Süßes Appartement für 2-Personen! In Hellersdorf!,791.0,53.98,2.0,0,0,1,0,1,0,0,0
moabit,"Emdener Straße 0, Moabit, Berlin","Emdener Straße, Berlin",1400.0,51.0,1.0,0,0,0,0,0,0,0,0
tiergarten,"Genthiner Straße 44, Tiergarten, Berlin",2 rooms apartment in Charlottenburg  (Berlin),2252.0,50.0,2.0,1,1,0,0,1,0,0,0
wilmersdorf,"Ludwigkirchstraße 0, Wilmersdorf, Berlin","Ludwigkirchstraße, Berlin",1190.0,41.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Löwestraße 0, Friedrichshain, Berlin","Löwestraße, Berlin",1500.0,48.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Warschauer Straße 0, Friedrichshain, Berlin","Warschauer Straße, Berlin",1300.0,24.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Lenbachstraße 0, Friedrichshain, Berlin","Lenbachstraße, Berlin",2990.0,100.0,3.0,0,0,0,0,0,0,0,0
friedrichshain,"Revaler Straße 0, Friedrichshain, Berlin","Revaler Straße, Berlin",2300.0,23.0,1.0,0,0,0,0,0,0,0,0
lichtenberg,"Allee der Kosmonauten 0, Lichtenberg (Ortsteil), Berlin","Allee der Kosmonauten, Berlin",1047.0,30.0,1.0,0,0,0,0,0,0,0,0
wedding,"Sansibarstraße 0, Wedding, Berlin","Sansibarstraße, Berlin",1800.0,50.0,2.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1059.0,20.0,1.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1059.0,20.0,1.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1449.0,20.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Cicerostraße 0, Wilmersdorf, Berlin","Cicerostraße, Berlin",2210.0,80.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Charlottenburger Ufer 17, Charlottenburg, Berlin",Exklusive LOFTWOHNUNG in Charlottenburg mit Blick auf die Spree!,1863.24,89.5,3.0,1,1,1,0,0,0,0,0
lübars,"Lübars, Berlin",Mit eigenem Garten vom Privatanbieter im schönen Lübars,1000.0,56.0,2.0,0,1,0,1,0,0,0,0
französisch buchholz,"August-Siebke-Straße 0, Französisch Buchholz, Berlin","August-Siebke-Straße, Berlin",3000.0,136.0,3.0,0,0,0,0,0,1,0,0
lichterfelde,"Réaumurstr. 18, Lichterfelde, Berlin",Geniessen Sie Ihren Feierabend auf der großen Sonnenterrasse!,745.22,69.96,2.0,0,0,0,0,1,0,0,0
wedding,"Sprengelstraße 0, Wedding, Berlin","Sprengelstraße, Berlin",2450.0,70.0,1.0,0,0,0,0,0,0,0,0
johannisthal,"Winckelmannstraße 0, Johannisthal, Berlin","Winckelmannstraße, Berlin",3000.0,97.0,4.0,0,0,0,0,0,0,0,0
grunewald,"Toni-Lessler-Straße 0, Grunewald, Berlin","Toni-Lessler-Straße, Berlin",1900.0,90.0,1.0,0,0,0,0,0,1,0,0
wedding,"Reinickendorfer Straße 0, Wedding, Berlin","Reinickendorfer Straße, Berlin",2400.0,75.0,3.0,0,0,0,0,0,0,0,0
tempelhof,"Schönburgstraße 0, Tempelhof, Berlin","Schönburgstraße, Berlin",1900.0,90.0,1.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1669.0,23.0,1.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1339.0,23.0,1.0,0,0,0,0,0,0,0,0
wedding,"Reinickendorfer Straße 0, Wedding, Berlin","Reinickendorfer Straße, Berlin",1590.0,28.0,1.0,0,0,0,0,0,1,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1059.0,20.0,1.0,0,0,0,0,0,0,0,0
pankow,"Pestalozzistraße 0, Pankow (Ortsteil), Berlin","Pestalozzistraße, Berlin",1449.0,20.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Monumentenstraße 0, Schöneberg, Berlin","Monumentenstraße, Berlin",1549.0,47.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Homburger Straße 0, Wilmersdorf, Berlin","Homburger Straße, Berlin",2150.0,101.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Leibnizstraße 0, Charlottenburg, Berlin","Leibnizstraße, Berlin",1100.0,30.0,1.0,0,0,0,0,0,0,0,0
wedding,"Togostraße 0, Wedding, Berlin","Togostraße, Berlin",1450.0,62.0,1.0,0,0,0,0,0,0,0,0
mitte,"Almstadtstraße 0, Mitte (Ortsteil), Berlin","Almstadtstraße, Berlin",2900.0,70.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Leibnizstraße 0, Charlottenburg, Berlin","Leibnizstraße, Berlin",2400.0,67.0,3.0,0,0,0,0,0,0,0,0
charlottenburg,"Rückertstraße 0, Charlottenburg, Berlin","Rückertstraße, Berlin",2000.0,51.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Bismarckstraße 0, Charlottenburg, Berlin","Bismarckstraße, Berlin",2400.0,71.0,3.0,0,0,0,0,0,0,0,0
grunewald,"Hubertusallee 0, Grunewald, Berlin","Hubertusallee, Berlin",1380.0,43.0,1.0,0,0,0,0,0,0,0,0
plänterwald,"Willi-Sänger-Straße 0, Plänterwald, Berlin","Willi-Sänger-Straße, Berlin",1795.0,50.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Ehrenbergstraße 0, Friedrichshain, Berlin","Ehrenbergstraße, Berlin",4600.0,132.0,2.0,0,0,0,0,0,1,0,0
wilmersdorf,"Berliner Straße 0, Wilmersdorf, Berlin","Berliner Straße, Berlin",2660.0,55.0,1.0,0,0,0,0,0,0,0,0
moabit,"Beusselstraße 65, Moabit, Berlin",Unglaublich schöne vollmöblierte 2 Zimmer Wohnung in super Lage in der nähe der Spree.,2240.0,68.0,2.0,0,0,0,0,1,0,0,0
wilmersdorf,"Wilhelmsaue 32, Wilmersdorf, Berlin",2 rooms apartment with parking space and terrace in Wilmersdorf (Berlin),3070.0,85.0,2.0,1,1,0,0,1,0,0,0
reinickendorf,"Brusebergstraße 0, Reinickendorf (Ortsteil), Berlin","Brusebergstraße, Berlin",1890.0,65.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Pappelallee 0, Prenzlauer Berg, Berlin","Pappelallee, Berlin",2978.0,65.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Stallschreiberstraße 0, Kreuzberg, Berlin","Stallschreiberstraße, Berlin",1850.0,50.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Bayerische Straße 0, Wilmersdorf, Berlin","Bayerische Straße, Berlin",1600.0,40.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Voigtstraße 0, Friedrichshain, Berlin","Voigtstraße, Berlin",1450.0,38.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Görlitzer Straße 0, Kreuzberg, Berlin","Görlitzer Straße, Berlin",2580.0,105.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Jessnerstraße 0, Friedrichshain, Berlin","Jessnerstraße, Berlin",1750.0,92.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kantstraße 0, Charlottenburg, Berlin","Kantstraße, Berlin",4500.0,159.0,3.0,0,0,0,0,0,0,0,0
mitte,"Swinemünder Straße 0, Mitte (Ortsteil), Berlin","Swinemünder Straße, Berlin",2900.0,98.0,2.0,0,0,0,0,0,0,0,0
weißensee,"Buschallee 0, Weißensee, Berlin","Buschallee, Berlin",1950.0,60.0,1.0,0,0,0,0,0,0,0,0
marienfelde,"Malteserstraße 0, Marienfelde, Berlin","Malteserstraße, Berlin",1010.0,30.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Weinert-Straße 0, Prenzlauer Berg, Berlin","Erich-Weinert-Straße, Berlin",2600.0,71.0,2.0,0,0,0,0,0,0,0,0
mitte,"Leipziger Straße 0, Mitte (Ortsteil), Berlin","Leipziger Straße, Berlin",2300.0,95.0,1.0,0,0,0,0,0,1,0,0
mitte,"Bergstraße 0, Mitte (Ortsteil), Berlin","Bergstraße, Berlin",2300.0,60.0,2.0,0,0,0,0,0,0,0,0
lichtenberg,"Alfredstraße 0, Lichtenberg (Ortsteil), Berlin","Alfredstraße, Berlin",1599.0,78.0,1.0,0,0,0,0,0,0,0,0
mitte,"Holzmarktstraße 0, Mitte (Ortsteil), Berlin","Holzmarktstraße, Berlin",1995.0,70.0,2.0,0,0,0,0,0,1,0,0
steglitz,"Forststraße 0, Steglitz, Berlin","Forststraße, Berlin",1750.0,62.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Kreuzberg, Berlin","Tauschwohnung: 5000€ Belohnung | biete 1,5 Zimmer gegen mind. 2,5 Zimmer",500.0,42.0,1.5,1,1,0,0,1,0,0,0
reinickendorf,"Reinickendorf (Ortsteil), Berlin",Tauschwohnung: Große 3-Z.-Wohnung gegen 1-2. Z.-Wohnung zentraler,920.0,80.0,3.0,1,1,1,0,0,0,0,0
mitte,"Mitte (Ortsteil), Berlin","Penthouse mit Weitblick, möbliert in Top Lage **Dachterrasse**Klimaanlage**exklusive Ausstattung**",4150.0,139.62,4.0,1,1,1,0,0,0,0,0
wedding,"Togostraße 0, Wedding, Berlin","Togostraße, Berlin",2400.0,60.0,4.0,0,0,0,0,0,0,0,0
friedrichshain,"Voigtstraße 0, Friedrichshain, Berlin","Voigtstraße, Berlin",1800.0,63.0,1.0,0,0,0,0,0,0,0,0
mariendorf,"Mariendorfer Damm 0, Mariendorf, Berlin","Mariendorfer Damm, Berlin",1790.0,65.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Weinert-Straße 0, Prenzlauer Berg, Berlin","Erich-Weinert-Straße, Berlin",2200.0,65.0,1.0,0,0,0,0,0,0,0,0
lichtenberg,"Wotanstraße 0, Lichtenberg (Ortsteil), Berlin","Wotanstraße, Berlin",1599.0,68.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Savignyplatz 0, Charlottenburg, Berlin","Savignyplatz, Berlin",3500.0,110.0,2.0,0,0,0,0,0,0,0,0
zehlendorf,"Ilsensteinweg 0, Zehlendorf, Berlin","Ilsensteinweg, Berlin",3500.0,150.0,3.0,0,0,0,0,0,0,0,0
kreuzberg,"Urbanstraße 0, Kreuzberg, Berlin","Urbanstraße, Berlin",2900.0,70.0,2.0,0,0,0,0,0,0,0,0
mitte,"Linienstraße 147, Mitte (Ortsteil), Berlin",Vierzimmerwohnung im Altbauflair - historischer Holzbalkendecke und schöner Dachterrasse!,3497.0,163.0,4.5,1,1,1,0,0,0,0,0
lichterfelde,"Boothstraße 13, Lichterfelde, Berlin",***Schöne Maisonettewohnung im Grünen mit 2 Balkonen - befristet auf 3 Jahre ***,1915.0,96.78,3.0,1,1,0,1,0,0,0,0
prenzlauer berg,"Prenzlauer Allee 0, Prenzlauer Berg, Berlin","Prenzlauer Allee, Berlin",1400.0,39.0,1.0,0,0,0,0,0,1,0,0
gatow,"Alt-Gatow 57/59, Gatow, Berlin",Vollmöblierte Zwei-Zimmer-Maisonette-Wohnung direkt an der Havel,1156.0,63.96,2.0,1,1,1,0,0,0,0,0
westend,"Jesse-Owens-Allee 0, Westend, Berlin","Jesse-Owens-Allee, Berlin",1799.0,50.0,2.0,0,0,0,0,0,1,0,0
mitte,"Friedrichstraße 0, Mitte (Ortsteil), Berlin","Friedrichstraße, Berlin",2100.0,107.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Eylauer Straße 0, Kreuzberg, Berlin","Eylauer Straße, Berlin",2122.0,51.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Ettaler Straße 0, Wilmersdorf, Berlin","Ettaler Straße, Berlin",4800.0,100.0,1.0,0,0,0,0,0,0,0,0
hansaviertel,"Holsteiner Ufer 0, Hansaviertel, Berlin","Holsteiner Ufer, Berlin",2300.0,56.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Leibnizstraße 0, Charlottenburg, Berlin","Leibnizstraße, Berlin",1000.0,12.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Scharnweberstraße 0, Friedrichshain, Berlin","Scharnweberstraße, Berlin",2300.0,86.0,3.0,0,0,0,0,0,0,0,0
wedding,"Reinickendorfer Straße 0, Wedding, Berlin","Reinickendorfer Straße, Berlin",1040.0,22.0,1.0,0,0,0,0,0,1,0,0
siemensstadt,"Popitzweg 0, Siemensstadt, Berlin","Popitzweg, Berlin",900.0,30.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Gleimstraße 0, Prenzlauer Berg, Berlin","Gleimstraße, Berlin",1899.0,75.0,2.0,0,0,0,0,0,1,0,0
neukölln,"Hermannstraße 0, Neukölln (Ortsteil), Berlin","Hermannstraße, Berlin",1450.0,43.0,1.0,0,0,0,0,0,0,0,0
moabit,"Lehrter Straße 0, Moabit, Berlin","Lehrter Straße, Berlin",1250.0,25.0,1.0,0,0,0,0,0,1,0,0
fennpfuhl,"Alfred-Jung-Straße 0, Fennpfuhl, Berlin","Alfred-Jung-Straße, Berlin",777.0,21.0,1.0,0,0,0,0,0,0,0,0
mitte,"Marienstraße 0, Mitte (Ortsteil), Berlin","Marienstraße, Berlin",2100.0,80.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Kreuzberg, Berlin","Tauschwohnung: 1 Zi Kreuzkölln nähe Kanal gg. 2-3 Zi in Treptow, NK, XBERG",670.0,45.0,1.0,1,0,0,0,0,0,0,0
mitte,"Pflugstraße 0, Mitte (Ortsteil), Berlin","Pflugstraße, Berlin",1995.0,40.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Rückertstraße 0, Charlottenburg, Berlin","Rückertstraße, Berlin",1900.0,51.0,2.0,0,0,0,0,0,0,0,0
moabit,"Bochumer Straße 0, Moabit, Berlin","Bochumer Straße, Berlin",1690.0,42.0,1.0,0,0,0,0,0,0,0,0
steglitz,"Ermanstraße 0, Steglitz, Berlin","Ermanstraße, Berlin",890.0,26.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Stargarder Straße 0, Prenzlauer Berg, Berlin","Stargarder Straße, Berlin",1600.0,45.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Motzstraße 0, Schöneberg, Berlin","Motzstraße, Berlin",1300.0,17.0,1.0,0,0,0,0,0,0,0,0
schöneberg,"Motzstraße 0, Schöneberg, Berlin","Motzstraße, Berlin",1400.0,18.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Holsteinische Straße 0, Wilmersdorf, Berlin","Holsteinische Straße, Berlin",1100.0,36.0,1.0,0,0,0,0,0,0,0,0
kreuzberg,"Eylauer Straße 0, Kreuzberg, Berlin","Eylauer Straße, Berlin",2325.0,63.0,1.0,0,0,0,0,0,0,0,0
mitte,"Legiendamm 0, Mitte (Ortsteil), Berlin","Legiendamm, Berlin",2500.0,90.0,2.0,0,0,0,0,0,1,0,0
moabit,"Kurfürstenstraße 0, Moabit, Berlin","Kurfürstenstraße, Berlin",1800.0,44.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Thaerstraße 0, Prenzlauer Berg, Berlin","Thaerstraße, Berlin",1400.0,36.0,1.0,0,0,0,0,0,0,0,0
pankow,"Mühlenstraße 0, Pankow (Ortsteil), Berlin","Mühlenstraße, Berlin",1300.0,43.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Niemetzstraße 12, Neukölln (Ortsteil), Berlin",Wohnungstausch: Niemetzstraße 12,610.0,40.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Georg-Blank-Straße 26, Prenzlauer Berg, Berlin",Wohnungstausch: Georg-Blank-Straße 26,630.0,43.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Koppenstraße 17, Friedrichshain, Berlin",Wohnungstausch: Koppenstraße 17,580.0,55.0,2.0,0,0,0,0,0,0,0,0
weißensee,"Wigandstaler Straße 1, Weißensee, Berlin",Wohnungstausch: Wigandstaler Straße 1,640.0,50.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Sonnenallee 137, Neukölln (Ortsteil), Berlin",Wohnungstausch: Sonnenallee 137,660.0,49.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Nansenstraße 0, Neukölln (Ortsteil), Berlin","Nansenstraße, Berlin",1480.0,42.0,1.0,0,0,0,0,0,0,0,0
westend,"Brixplatz 11, Westend, Berlin","Top-Lage Neu-Westend/Brixplatz -Großzügige Hochparterre-Wohnung/Ruhig, vollständig saniert/Parkblick",2819.8,191.2,5.0,1,0,1,0,1,0,0,0
friedrichshagen,"Fürstenwalder Damm 294, Friedrichshagen, Berlin",Top moderne 2-Zimmer-Wohnung!,1709.0,66.22,2.0,1,1,0,0,1,0,0,0
neukölln,"Weserstraße 0, Neukölln (Ortsteil), Berlin","Weserstraße, Berlin",2299.0,80.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Ebertystraße 0, Friedrichshain, Berlin","Ebertystraße, Berlin",1450.0,43.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Neukölln (Ortsteil), Berlin",Tauschwohnung: 3 Zi Wohnung in NK - Suche 2-3 Zi in Mitte /Kberg/Wedding,1285.0,87.0,3.0,1,1,0,0,0,0,0,0
prenzlauer berg,"Wisbyer Straße 0, Prenzlauer Berg, Berlin","Wisbyer Straße, Berlin",1490.0,37.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Kantstraße 0, Charlottenburg, Berlin","Kantstraße, Berlin",1600.0,53.0,1.0,0,0,0,0,0,0,0,0
steglitz,"Steglitz, Berlin",Luxus Maisonette-Dachgeschosswohnung direkt am Breitenbachplatz,2200.0,80.0,4.0,0,1,0,0,0,0,1,0
neukölln,"Emser Straße 120, Neukölln (Ortsteil), Berlin",Wohnungstausch: Emser Straße 120,740.0,35.0,1.0,0,0,0,0,0,0,0,0
marzahn,"Marzahner Promenade a 12, Marzahn, Berlin",Wohnungstausch: Marzahner Promenade 12a,570.0,63.0,2.0,1,0,0,0,1,0,0,0
prenzlauer berg,"Kanzowstraße 6, Prenzlauer Berg, Berlin",Wohnungstausch: Kanzowstraße 6,1390.0,82.0,3.0,1,0,0,0,1,0,0,0
johannisthal,"Sterndamm a 93, Johannisthal, Berlin",Wohnungstausch: Sterndamm 93a,620.0,24.0,1.0,1,0,0,0,0,0,0,0
